,author
0,A Min Tjoa
1,A-Rum Jun
2,A. A. (Louis) Beex
3,A. A. Abouelsoud
4,A. A. Ball
5,A. A. Diwan
6,A. A. Holzbacher-Valero
7,A. A. I. Perera
8,A. A. Jagers
9,A. A. Khan
10,A. A. Nouh
11,A. A. Post
12,A. A. Soliman
13,A. A. Yushkevich
14,A. A. Zain
15,A. Abdelmageed Elsadek
16,A. Agarwal
17,A. Aggoun
18,A. Agrawal
19,A. Ahmed
20,A. Alan B. Pritsker
21,A. Alvarez
22,A. Amin
23,A. Angelopoulos
24,A. Antoniou
25,A. Appaji Rao
26,A. Ardeshir Goshtasby
27,A. Aydin Alatan
28,A. B. Bhattacharyya
29,A. B. Dobrzeniecki
30,A. B. Ruighaver
31,A. B. Stephens
32,A. Bagchi
33,A. Bak
34,A. Balabanov
35,A. Balasubramaniam
36,A. Basu
37,A. Ben Clymer
38,A. Benjamin Premkumar
39,A. Bhattacharyya
40,A. Bijlsma
41,A. Boulton
42,A. Brady Farrand
43,A. Brett Slatkin
44,A. Brown
45,A. Bruce McDonald
46,A. Bruno Frazier
47,A. Bryan Loyall
48,A. C. Cem Say
49,A. C. Kot
50,A. C. Leonard
51,A. C. Liew
52,A. C. Norman
53,A. C. North
54,A. C. Roth
55,A. C. Tan
56,A. C. Williams
57,A. Camussi
58,A. Chatterjee
59,A. Chockalingam
60,A. Cholvadová
61,A. Clive Pugh
62,A. Cook
63,A. Cruz
64,A. Curran
65,A. D. Brink
66,A. D. Hutcheon
67,A. D. Kulkarni
68,A. D. Lunn
69,A. D. Pengelly
70,A. D. Yashin
71,A. Das
72,A. Dave Inglis
73,A. David Marshall
74,A. David Redish
75,A. De Matteis
76,A. Delgado
77,A. Dennis Nelson
78,A. Desai Narasimhalu
79,A. Djebbari
80,A. Dobnikar
81,A. Donald Keedwell
82,A. Dreger
83,A. Duksu Oh
84,A. Dölemeyer
85,A. E. Bashagha
86,A. E. Cawkell
87,A. E. Eiben
88,A. E. Fateev
89,A. E. Grace
90,A. E. Karbowiak
91,A. E. Tzimas
92,A. El Maftouhi
93,A. Enis Çetin
94,A. Erman Tekkaya
95,A. F. Bakker
96,A. F. Sidorenko
97,A. F. Tasch Jr.
98,A. Farah
99,A. Farid Faryar
100,A. Farina
101,A. Faye Borthick
102,A. Ferrari
103,A. Fichera
104,A. Flores
105,A. Fotinos
106,A. Frank van der Stappen
107,A. G. Bakirtzis
108,A. G. Bolton
109,A. G. J. Holt
110,A. G. Jones
111,A. G. Robinson
112,A. G. Seethalakshmy
113,A. G. de Kok
114,A. Gaber Mohamed
115,A. Galip Ulsoy
116,A. Garcia
117,A. Gehrke
118,A. Geoffrey Lockett
119,A. Gerry Robertson
120,A. Ghazal
121,A. Giordano
122,A. Graham Peace
123,A. Grbic
124,A. Gröpl
125,A. Gulati
126,A. Gunasekaran
127,A. Gupta
128,A. Guénoche
129,A. H. Bratt
130,A. H. G. Rinnooy Kan
131,A. H. Sayed
132,A. H. V. Schapira
133,A. Hamid Aghvami
134,A. Harry Klopf
135,A. Hasman
136,A. Hatzimanikatis
137,A. Heath
138,A. Hein
139,A. Herrera
140,A. Hmamed
141,A. Hochmuth
142,A. Horn
143,A. Houelle
144,A. Hussain
145,A. I. Barros
146,A. I. Scott
147,A. Inkeri Verkamo
148,A. J. (Tom) van Loon
149,A. J. Al-Khalili
150,A. J. Anderson
151,A. J. Dadej
152,A. J. Elms
153,A. J. Feelders
154,A. J. Field
155,A. J. Goldman
156,A. J. Grant
157,A. J. Han Vinck
158,A. J. Healey
159,A. J. J. Talman
160,A. J. Kfoury
161,A. J. Lacey
162,A. J. M. M. Weijters
163,A. J. M. van Gasteren
164,A. J. Meadows
165,A. J. Payne
166,A. J. Pires
167,A. J. Radcliffe
168,A. J. Rye
169,A. J. Silis
170,A. J. W. Duijvestijn
171,A. J. W. M. ten Berg
172,A. J. Weisenborn
173,A. J. Wells
174,A. J. van Zanten
175,A. J. van de Goor
176,A. J. van der Hoeven
177,A. J. van der Schaft
178,A. J. van der Wal
179,A. Jafari Koshkouei
180,A. Jain
181,A. Jakoby
182,A. James
183,A. James Stewart
184,A. Jamie Cuticchia
185,A. Jefferson Offutt
186,A. Joe Turner
187,A. Johansson
188,A. John Hurst
189,A. John Power
190,A. John van Opstal
191,A. John van Schouwen
192,A. Johnson
193,A. Jonathan Howell
194,A. Josep Velasco
195,A. Joubert
196,A. Julian Morris
197,A. K. Agarwal
198,A. K. Aggarwal
199,A. K. B. A'ain
200,A. K. Bandyopadhyay
201,A. K. Betts
202,A. K. Bhattacharjee
203,A. K. Datta
204,A. K. David
205,A. K. Kochhar
206,A. K. Madan
207,A. K. Ray
208,A. K. Sarkar
209,A. Kanellakis
210,A. Kapitanovsky
211,A. Keith Dunker
212,A. Kevin Parrott
213,A. Kh. Al Jabri
214,A. Klein
215,A. Knight
216,A. Knoll
217,A. Knop
218,A. Konczykowska
219,A. Korpel
220,A. Krasnitz
221,A. Krishnamurthy
222,A. Kumar
223,A. Kutlu
224,A. L. Narasimha Reddy
225,A. Lafourcade
226,A. Laurence Gray
227,A. Lawrence Spitz
228,A. Lee
229,A. Lee Swindlehurst
230,A. Lester Buck
231,A. Liberatore
232,A. Limongiello
233,A. Liu
234,A. Louise Perkins
235,A. Luís Osório
236,A. Lynn Abbott
237,A. M. A. Hariri
238,A. M. Abd-All
239,A. M. Abd-Alla
240,A. M. Chemali
241,A. M. Clarke
242,A. M. Day
243,A. M. Eroshkin
244,A. M. Fahim
245,A. M. H. Gerards
246,A. M. Ireland
247,A. M. Zahran
248,A. M. de Oliveira Duarte
249,A. Machado e Moura
250,A. Madani
251,A. Marie Vans
252,A. Mark Earnshaw
253,A. Marlow Henne
254,A. Martin Wildberger
255,A. Martinez
256,A. Martínez
257,A. Maynard Engebretson
258,A. Menchén
259,A. Mete Kabakçioglu
260,A. Michael
261,A. Michael Berman
262,A. Michael Froomkin
263,A. Michael Noll
264,A. Min Tjoa
265,A. Mokadem
266,A. Molina
267,A. Murat Tekalp
268,A. Murray
269,A. Muthusamy
270,A. Müfit Ferman
271,A. N. Abd-alla
272,A. N. Rajagopalan
273,A. N. Trahtman
274,A. Narayanan
275,A. Neil Birkett
276,A. Neil Burgess
277,A. Nico Habermann
278,A. Norman Redlich
279,A. Nur Zincir-Heywood
280,A. O. Farahat
281,A. Ogiwara
282,A. P. Casimiro
283,A. P. Dorey
284,A. P. Dunmur
285,A. P. Kryukov
286,A. P. Lewis
287,A. P. Muhlemann
288,A. P. Redfern
289,A. P. Sakis Meliopoulos
290,A. P. Shivaprasad
291,A. P. Ustimenko
292,A. P. Wim Böhm
293,A. Pal
294,A. Palma
295,A. Paoli
296,A. Patel
297,A. Paterson
298,A. Pawel Wojda
299,A. Peter Johnson
300,A. Philip Dawid
301,A. Popovich
302,A. Prabhu
303,A. Prasad Sistla
304,A. R. Bakker
305,A. R. Dixon
306,A. R. Humphries
307,A. R. Naseer
308,A. R. Venkatachalam
309,A. R. Yaakub
310,A. Radisavljevic
311,A. Rahim Leyman
312,A. Ravichandran
313,A. Ravindran
314,A. Ravishankar Rao
315,A. Richard Newton
316,A. Robert Calderbank
317,A. Robin Forrest
318,A. Robin Wallace
319,A. Rodriguez
320,A. Roger Hammons Jr.
321,A. Roger Kaye
322,A. Rousseau
323,A. S. Andreatos
324,A. S. Ashur
